I_DSK_BAB,IND_TOTAL,PC_IND,ME	: 	: 	50 	: u
I_DSK_BAB,IND_TOTAL,PC_IND,MK	37 	34 	32 	32 
I_DSK_BAB,IND_TOTAL,PC_IND,MT	53 	50 	57 	56 
I_DSK_BAB,IND_TOTAL,PC_IND,NL	72 	77 	79 	79 
I_DSK_BAB,IND_TOTAL,PC_IND,NO	80 	75 	77 	83 
I_DSK_BAB,IND_TOTAL,PC_IND,PL	40 	44 	46 	44 
I_DSK_BAB,IND_TOTAL,PC_IND,PT	48 	48 	50 	52 
I_DSK_BAB,IND_TOTAL,PC_IND,RO	26 	28 	29 	31 
I_DSK_BAB,IND_TOTAL,PC_IND,RS	32 	: 	39 	46 
I_DSK_BAB,IND_TOTAL,PC_IND,SE	72 	69 b	77 	72 u
I_DSK_BAB,IND_TOTAL,PC_IND,SI	51 	53 	54 	55 
I_DSK_BAB,IND_TOTAL,PC_IND,SK	53 	55 	59 	54 
I_DSK_BAB,IND_TOTAL,PC_IND,TR	23 	28 	34 	36 
I_DSK_BAB,IND_TOTAL,PC_IND,UK	67 	69 	71 	74 
I_DSK_BAB,IND_TOTAL,PC_IND,XK	: 	: 	21 	28 
I_DSK_BAB,M_Y16_74,PC_IND,AL	: 	: 	: 	23 
I_DSK_BAB,M_Y16_74,PC_IND,AT	71 	70 	73 	70 
I_DSK_BAB,M_Y16_74,PC_IND,BA	: 	: 	: 	29 
I_DSK_BAB,M_Y16_74,PC_IND,BE	62 	64 	62 	63 
I_DSK_BAB,M_Y16_74,PC_IND,BG	31 	25 	29 	28 
I_DSK_BAB,M_Y16_74,PC_IND,CH	: 	: 	77 b	77 b
I_DSK_BAB,M_Y16_74,PC_IND,CY	45 	41 	50 	43 
I_DSK_BAB,M_Y16_74,PC_IND,CZ	59 	55 	63 	62 b
I_DSK_BAB,M_Y16_74,PC_IND,DE	70 	71 	71 	73 
I_DSK_BAB,M_Y16_74,PC_IND,DK	77 	79 	75 	72 
I_DSK_BAB,M_Y16_74,PC_IND,EA	60 	60 	60 	61 
I_DSK_BAB,M_Y16_74,PC_IND,EE	65 	61 	61 	62 
I_DSK_BAB,M_Y16_74,PC_IND,EL	48 	47 	49 	52 
I_DSK_BAB,M_Y16_74,PC_IND,ES	57 	57 	57 	59 
I_DSK_BAB,M_Y16_74,PC_IND,EU27_2007	58 	58 	60 	: 
I_DSK_BAB,M_Y16_74,PC_IND,EU27_2020	57 	57 	58 	58 
I_DSK_BAB,M_Y16_74,PC_IND,EU28	58 	58 	60 	60 
I_DSK_BAB,M_Y16_74,PC_IND,FI	74 	72 	74 	75 
I_DSK_BAB,M_Y16_74,PC_IND,FR	58 	56 	57 	58 
I_DSK_BAB,M_Y16_74,PC_IND,HR	56 	59 	48 	57 
I_DSK_BAB,M_Y16_74,PC_IND,HU	52 	54 	52 	52 
I_DSK_BAB,M_Y16_74,PC_IND,IE	45 	46 	47 	54 
I_DSK_BAB,M_Y16_74,PC_IND,IS	: 	: 	85 	86 
I_DSK_BAB,M_Y16_74,PC_IND,IT	48 	47 	: u	45 b
I_DSK_BAB,M_Y16_74,PC_IND,LT	51 	52 	54 	56 
I_DSK_BAB,M_Y16_74,PC_IND,LU	90 	91 	88 	68 b
I_DSK_BAB,M_Y16_74,PC_IND,LV	48 	48 b	46 	40 b
I_DSK_BAB,M_Y16_74,PC_IND,ME	: 	: 	54 	: u
I_DSK_BAB,M_Y16_74,PC_IND,MK	38 	33 	34 	31 
I_DSK_BAB,M_Y16_74,PC_IND,MT	56 	50 	57 	57 
I_DSK_BAB,M_Y16_74,PC_IND,NL	75 	79 	82 	83 
I_DSK_BAB,M_Y16_74,PC_IND,NO	82 	76 	79 	83 
I_DSK_BAB,M_Y16_74,PC_IND,PL	42 	46 	48 	46 
I_DSK_BAB,M_Y16_74,PC_IND,PT	52 	50 	53 	54 
I_DSK_BAB,M_Y16_74,PC_IND,RO	28 	29 	30 	33 
I_DSK_BAB,M_Y16_74,PC_IND,RS	35 	: 	42 	49 
I_DSK_BAB,M_Y16_74,PC_IND,SE	72 	70 b	78 	74 u
I_DSK_BAB,M_Y16_74,PC_IND,SI	50 	53 	51 	55 
I_DSK_BAB,M_Y16_74,PC_IND,SK	54 	57 	62 	54 
I_DSK_BAB,M_Y16_74,PC_IND,TR	29 	35 	41 	42 
I_DSK_BAB,M_Y16_74,PC_IND,UK	69 	69 	72 	77 
I_DSK_BAB,M_Y16_74,PC_IND,XK	: 	: 	24 	30 
