unit,indic_is,ind_type,geo\time	2011 	2013 	2015 
PC_IND,I_IUWIKI,UNE,PT	27 	32 	39 
PC_IND,I_IUWIKI,UNE,RO	14 	10 	16 
PC_IND,I_IUWIKI,UNE,RS	: 	: 	39 
PC_IND,I_IUWIKI,UNE,SE	50 	68 	62 u
PC_IND,I_IUWIKI,UNE,SI	29 	35 	38 
PC_IND,I_IUWIKI,UNE,SK	20 	26 	28 
PC_IND,I_IUWIKI,UNE,TR	: 	15 	31 
PC_IND,I_IUWIKI,UNE,UK	35 	36 	49 
PC_IND,I_IUWIKI,Y16_24,AT	83 	83 	79 
PC_IND,I_IUWIKI,Y16_24,BE	49 	55 	65 
PC_IND,I_IUWIKI,Y16_24,BG	32 	22 	47 
PC_IND,I_IUWIKI,Y16_24,CY	63 	60 	74 
PC_IND,I_IUWIKI,Y16_24,CZ	45 	62 	68 
PC_IND,I_IUWIKI,Y16_24,DE	82 	84 	84 
PC_IND,I_IUWIKI,Y16_24,DK	83 	87 	85 
PC_IND,I_IUWIKI,Y16_24,EA	68 	75 	70 
PC_IND,I_IUWIKI,Y16_24,EE	73 	73 	83 
PC_IND,I_IUWIKI,Y16_24,EL	55 	60 	61 
PC_IND,I_IUWIKI,Y16_24,ES	71 	78 	83 
PC_IND,I_IUWIKI,Y16_24,EU27_2007	63 	69 	66 
PC_IND,I_IUWIKI,Y16_24,EU27_2020	64 	70 	68 
PC_IND,I_IUWIKI,Y16_24,EU28	63 	69 	66 
PC_IND,I_IUWIKI,Y16_24,FI	90 	93 	91 
PC_IND,I_IUWIKI,Y16_24,FR	62 	82 	54 
PC_IND,I_IUWIKI,Y16_24,HR	50 	67 	87 
PC_IND,I_IUWIKI,Y16_24,HU	55 	52 	70 
PC_IND,I_IUWIKI,Y16_24,IE	37 	37 	35 
PC_IND,I_IUWIKI,Y16_24,IS	85 	89 	: 
PC_IND,I_IUWIKI,Y16_24,IT	56 	60 	63 
PC_IND,I_IUWIKI,Y16_24,LT	62 	66 	63 
PC_IND,I_IUWIKI,Y16_24,LU	89 	90 	86 
PC_IND,I_IUWIKI,Y16_24,LV	65 	49 	54 
PC_IND,I_IUWIKI,Y16_24,MK	: 	36 	43 
PC_IND,I_IUWIKI,Y16_24,MT	66 	63 	72 
PC_IND,I_IUWIKI,Y16_24,NL	73 	81 	74 
PC_IND,I_IUWIKI,Y16_24,NO	90 	90 	82 
PC_IND,I_IUWIKI,Y16_24,PL	58 	60 	61 
PC_IND,I_IUWIKI,Y16_24,PT	72 	75 	80 
PC_IND,I_IUWIKI,Y16_24,RO	36 	34 	33 
PC_IND,I_IUWIKI,Y16_24,RS	: 	: 	76 
PC_IND,I_IUWIKI,Y16_24,SE	83 	89 	83 
PC_IND,I_IUWIKI,Y16_24,SI	72 	78 	75 
PC_IND,I_IUWIKI,Y16_24,SK	59 	60 	57 
PC_IND,I_IUWIKI,Y16_24,TR	: 	23 	42 
PC_IND,I_IUWIKI,Y16_24,UK	58 	60 	55 
PC_IND,I_IUWIKI,Y25_54,AT	59 	62 	64 
PC_IND,I_IUWIKI,Y25_54,BE	34 	40 	48 
PC_IND,I_IUWIKI,Y25_54,BG	17 	14 	29 
PC_IND,I_IUWIKI,Y25_54,CY	31 	33 	47 
PC_IND,I_IUWIKI,Y25_54,CZ	20 	34 	41 
PC_IND,I_IUWIKI,Y25_54,DE	66 	70 	73 
PC_IND,I_IUWIKI,Y25_54,DK	53 	62 	68 
PC_IND,I_IUWIKI,Y25_54,EA	47 	54 	52 
PC_IND,I_IUWIKI,Y25_54,EE	46 	53 	63 
PC_IND,I_IUWIKI,Y25_54,EL	31 	37 	40 
PC_IND,I_IUWIKI,Y25_54,ES	42 	49 	59 
PC_IND,I_IUWIKI,Y25_54,EU27_2007	42 	49 	50 
PC_IND,I_IUWIKI,Y25_54,EU27_2020	42 	49 	49 
PC_IND,I_IUWIKI,Y25_54,EU28	42 	49 	50 
PC_IND,I_IUWIKI,Y25_54,FI	75 	81 	82 
PC_IND,I_IUWIKI,Y25_54,FR	42 	54 	27 
PC_IND,I_IUWIKI,Y25_54,HR	23 	41 	54 
PC_IND,I_IUWIKI,Y25_54,HU	33 	34 	51 
PC_IND,I_IUWIKI,Y25_54,IE	24 	30 	30 
PC_IND,I_IUWIKI,Y25_54,IS	51 	64 	: 
PC_IND,I_IUWIKI,Y25_54,IT	34 	40 	43 
PC_IND,I_IUWIKI,Y25_54,LT	23 	31 	35 
PC_IND,I_IUWIKI,Y25_54,LU	69 	75 	78 
PC_IND,I_IUWIKI,Y25_54,LV	30 	27 	25 
PC_IND,I_IUWIKI,Y25_54,MK	: 	16 	29 
PC_IND,I_IUWIKI,Y25_54,MT	41 	37 	55 
PC_IND,I_IUWIKI,Y25_54,NL	57 	68 	61 
PC_IND,I_IUWIKI,Y25_54,NO	76 	74 	79 
PC_IND,I_IUWIKI,Y25_54,PL	28 	34 	34 
PC_IND,I_IUWIKI,Y25_54,PT	35 	41 	47 
PC_IND,I_IUWIKI,Y25_54,RO	15 	14 	20 
PC_IND,I_IUWIKI,Y25_54,RS	: 	: 	49 
PC_IND,I_IUWIKI,Y25_54,SE	63 	73 	66 
PC_IND,I_IUWIKI,Y25_54,SI	38 	45 	44 
PC_IND,I_IUWIKI,Y25_54,SK	30 	30 	39 
PC_IND,I_IUWIKI,Y25_54,TR	: 	15 	25 
PC_IND,I_IUWIKI,Y25_54,UK	45 	50 	59 
PC_IND,I_IUWIKI,Y55_74,AT	25 	26 	33 
PC_IND,I_IUWIKI,Y55_74,BE	16 	21 	24 
PC_IND,I_IUWIKI,Y55_74,BG	5 	4 	7 
PC_IND,I_IUWIKI,Y55_74,CY	7 	7 	17 
PC_IND,I_IUWIKI,Y55_74,CZ	8 	12 	19 
PC_IND,I_IUWIKI,Y55_74,DE	33 	39 	45 
PC_IND,I_IUWIKI,Y55_74,DK	27 	31 	36 
PC_IND,I_IUWIKI,Y55_74,EA	21 	27 	27 
PC_IND,I_IUWIKI,Y55_74,EE	12 	18 	29 
PC_IND,I_IUWIKI,Y55_74,EL	6 	9 	11 
PC_IND,I_IUWIKI,Y55_74,ES	13 	18 	27 
PC_IND,I_IUWIKI,Y55_74,EU27_2007	19 	24 	27 
PC_IND,I_IUWIKI,Y55_74,EU27_2020	18 	23 	24 
PC_IND,I_IUWIKI,Y55_74,EU28	19 	24 	26 
PC_IND,I_IUWIKI,Y55_74,FI	31 	42 	45 
PC_IND,I_IUWIKI,Y55_74,FR	23 	31 	14 
PC_IND,I_IUWIKI,Y55_74,HR	3 	10 	18 
PC_IND,I_IUWIKI,Y55_74,HU	10 	11 	19 
PC_IND,I_IUWIKI,Y55_74,IE	8 	13 	12 
PC_IND,I_IUWIKI,Y55_74,IS	24 	37 	: 
PC_IND,I_IUWIKI,Y55_74,IT	11 	16 	20 
PC_IND,I_IUWIKI,Y55_74,LT	5 	9 	13 
PC_IND,I_IUWIKI,Y55_74,LU	49 	66 	70 
PC_IND,I_IUWIKI,Y55_74,LV	8 	8 	6 
PC_IND,I_IUWIKI,Y55_74,MK	: 	5 	10 
PC_IND,I_IUWIKI,Y55_74,MT	16 	14 	24 
PC_IND,I_IUWIKI,Y55_74,NL	34 	44 	42 
PC_IND,I_IUWIKI,Y55_74,NO	46 	46 	54 
PC_IND,I_IUWIKI,Y55_74,PL	8 	9 	12 
PC_IND,I_IUWIKI,Y55_74,PT	9 	10 	15 
PC_IND,I_IUWIKI,Y55_74,RO	3 	4 	5 
PC_IND,I_IUWIKI,Y55_74,RS	: 	: 	12 
PC_IND,I_IUWIKI,Y55_74,SE	36 	44 	40 
PC_IND,I_IUWIKI,Y55_74,SI	10 	15 	12 
PC_IND,I_IUWIKI,Y55_74,SK	10 	10 	17 
PC_IND,I_IUWIKI,Y55_74,TR	: 	2 	4 
PC_IND,I_IUWIKI,Y55_74,UK	23 	31 	43 
