BSL,PER,M,TOTAL,EA19	167037253 	167532602 	169348244 	169371907 	168026853 	165411620 	163356213 	162475477 	162150622 	162110966 
BSL,PER,M,TOTAL,EE	625635 	629854 	629393 	624062 	618339 	607312 	593870 	581569 	573749 	571327 
BSL,PER,M,TOTAL,EL	5208293 	5200354 	5031322 	4855194 	4685012 	4496603 	4321926 	4211136 	4154365 	4118297 
BSL,PER,M,TOTAL,ES	23009259 	23189693 	23789414 	23979376 	23872420 	23364172 	22776749 	22476674 	22401143 	22318095 
BSL,PER,M,TOTAL,EU27_2020	218237878 	218723752 	219622927 	218411543 	215902026 	212050185 	208688042 	206770074 	205854114 	205613301 
BSL,PER,M,TOTAL,FI	2723290 	2729833 	2734726 	2693895 	2637749 	2576116 	2521301 	2461480 	2401929 	2357987 
BSL,PER,M,TOTAL,FR	32386507 	32465660 	33133348 	33525612 	33605942 	33482320 	33431327 	33527824 	33666117 	33810961 
BSL,PER,M,TOTAL,HR	1972572 	1970954 	1878919 	1779164 	1679225 	1589976 	1514454 	1453252 	1410797 	1388259 
BSL,PER,M,TOTAL,HU	4675821 	4682893 	4654308 	4608539 	4563944 	4512055 	4437910 	4385852 	4359340 	4353856 
BSL,PER,M,TOTAL,IE	2428881 	2460460 	2715523 	2898561 	3038769 	3120043 	3162496 	3193347 	3217128 	3224816 
BSL,PER,M,TOTAL,IS	182837 	187928 	216824 	237213 	254797 	270766 	285112 	297102 	308170 	320771 
BSL,PER,M,TOTAL,IT	29384766 	29381865 	29402264 	29229461 	28703956 	27774435 	26950802 	26500945 	26128060 	25764371 
BSL,PER,M,TOTAL,LI	19025 	19159 	20405 	21133 	21636 	22047 	22553 	23152 	23850 	24735 
BSL,PER,M,TOTAL,LT	1295591 	1303240 	1226529 	1127761 	1046912 	976911 	921478 	881944 	858424 	854084 
BSL,PER,M,TOTAL,LU	308720 	315048 	350144 	373458 	387590 	393483 	395178 	394836 	393247 	391837 
BSL,PER,M,TOTAL,LV	884909 	881049 	800965 	726014 	668288 	619750 	581095 	554128 	541094 	539999 
BSL,PER,M,TOTAL,MT	251836 	260300 	308427 	335083 	354237 	367799 	373727 	371703 	365762 	360568 
BSL,PER,M,TOTAL,NL	8581086 	8643419 	8911450 	8988901 	8947445 	8878152 	8870897 	8881127 	8862707 	8859506 
BSL,PER,M,TOTAL,NO	2685073 	2705393 	2914551 	3084161 	3214916 	3312734 	3396238 	3467001 	3516595 	3560568 
BSL,PER,M,TOTAL,PL	18380376 	18369897 	17942058 	17300565 	16623842 	15914140 	15154424 	14453217 	13987456 	13753097 
BSL,PER,M,TOTAL,PT	4852366 	4850566 	4701956 	4527914 	4320104 	4107412 	3929416 	3824864 	3779463 	3769765 
BSL,PER,M,TOTAL,RO	9500450 	9440361 	8759434 	8197849 	7724947 	7296334 	6927812 	6685407 	6567004 	6532592 
