LangID,CountryID,LangStatus,Name_lang,Name_country,Area
act,NL,L,Achterhoeks,Netherlands,Europe
drt,NL,L,Drents,Netherlands,Europe
dse,NL,L,Sign Language of the Netherlands,Netherlands,Europe
fry,NL,L,Frisian,Netherlands,Europe
gos,NL,L,Gronings,Netherlands,Europe
lim,NL,L,Limburgish,Netherlands,Europe
nld,NL,L,Dutch,Netherlands,Europe
sdz,NL,L,Sallands,Netherlands,Europe
stl,NL,L,Stellingwerfs,Netherlands,Europe
twd,NL,L,Twents,Netherlands,Europe
vel,NL,L,Veluws,Netherlands,Europe
zea,NL,L,Zeeuws,Netherlands,Europe
aln,AL,L,"Albanian, Gheg",Albania,Europe
als,AL,L,"Albanian, Tosk",Albania,Europe
sqk,AL,L,Albanian Sign Language,Albania,Europe
arg,ES,L,Aragonese,Spain,Europe
ast,ES,L,Asturian,Spain,Europe
cat,ES,L,Catalan,Spain,Europe
csc,ES,L,Catalan Sign Language,Spain,Europe
eus,ES,L,Basque,Spain,Europe
ext,ES,L,Extremaduran,Spain,Europe
fax,ES,L,Fala,Spain,Europe
glg,ES,L,Galician,Spain,Europe
quq,ES,L,Quinqui,Spain,Europe
rmq,ES,L,Caló,Spain,Europe
spa,ES,L,Spanish,Spain,Europe
ssp,ES,L,Spanish Sign Language,Spain,Europe
vsv,ES,L,Valencian Sign Language,Spain,Europe
asq,AT,L,Austrian Sign Language,Austria,Europe
bar,AT,L,Bavarian,Austria,Europe
bel,BY,L,Belarusian,Belarus,Europe
bfi,GB,L,British Sign Language,United Kingdom,Europe
cor,GB,L,Cornish,United Kingdom,Europe
cym,GB,L,Welsh,United Kingdom,Europe
eng,GB,L,English,United Kingdom,Europe
gla,GB,L,Scottish Gaelic,United Kingdom,Europe
pld,GB,L,Polari,United Kingdom,Europe
rme,GB,L,Angloromani,United Kingdom,Europe
rmw,GB,L,"Romani, Welsh",United Kingdom,Europe
sco,GB,L,Scots,United Kingdom,Europe
trl,GB,L,Traveller Scottish,United Kingdom,Europe
bos,BA,L,Bosnian,Bosnia and Herzegovina,Europe
bqn,BG,L,Bulgarian Sign Language,Bulgaria,Europe
bul,BG,L,Bulgarian,Bulgaria,Europe
bre,FR,L,Breton,France,Europe
cos,FR,L,Corsican,France,Europe
emx,FR,L,Erromintxela,France,Europe
fra,FR,L,French,France,Europe
frp,FR,L,Arpitan,France,Europe
fsl,FR,L,French Sign Language,France,Europe
oci,FR,L,Occitan,France,Europe
pcd,FR,L,Picard,France,Europe
sdt,FR,X,Shuadit,France,Europe
ces,CZ,L,Czech,Czechia,Europe
cse,CZ,L,Czech Sign Language,Czechia,Europe
ckm,HR,L,Chakavian,Croatia,Europe
csq,HR,L,Croatian Sign Language,Croatia,Europe
hrv,HR,L,Croatian,Croatia,Europe
ist,HR,L,Istriot,Croatia,Europe
ruo,HR,L,"Romanian, Istro",Croatia,Europe
cnr,ME,L,Montenegrin,Montenegro,Europe
crh,UA,L,Crimean Tatar,Ukraine,Europe
jct,UA,L,Krimchak,Ukraine,Europe
rue,UA,L,Rusyn,Ukraine,Europe
ukl,UA,L,Ukrainian Sign Language,Ukraine,Europe
ukr,UA,L,Ukrainian,Ukraine,Europe
csb,PL,L,Kashubian,Poland,Europe
epo,PL,L,Esperanto,Poland,Europe
pol,PL,L,Polish,Poland,Europe
prg,PL,L,Prussian,Poland,Europe
pso,PL,L,Polish Sign Language,Poland,Europe
rml,PL,L,"Romani, Baltic",Poland,Europe
sli,PL,L,"Silesian, Lower",Poland,Europe
szl,PL,L,Silesian,Poland,Europe
wym,PL,L,Wymysorys,Poland,Europe
dan,DK,L,Danish,Denmark,Europe
dsl,DK,L,Danish Sign Language,Denmark,Europe
rmd,DK,X,Traveller Danish,Denmark,Europe
deu,DE,L,"German, Standard",Germany,Europe
dsb,DE,L,"Sorbian, Lower",Germany,Europe
frr,DE,L,"Frisian, Northern",Germany,Europe
frs,DE,L,"Saxon, East Frisian Low",Germany,Europe
gsg,DE,L,German Sign Language,Germany,Europe
hsb,DE,L,"Sorbian, Upper",Germany,Europe
ksh,DE,L,Ripuarian,Germany,Europe
nds,DE,L,"Saxon, Low",Germany,Europe
pfl,DE,L,Palatinate Franconian,Germany,Europe
rmo,DE,L,"Romani, Sinte",Germany,Europe
stq,DE,L,Saterfriesisch,Germany,Europe
swg,DE,L,Swabian,Germany,Europe
sxu,DE,L,"Saxon, Upper",Germany,Europe
vmf,DE,L,Eastern Franconian,Germany,Europe
wep,DE,L,Westphalien,Germany,Europe
yec,DE,L,Yeniche,Germany,Europe
yih,DE,L,"Yiddish, Western",Germany,Europe
drc,PT,L,Minderico,Portugal,Europe
mwl,PT,L,Mirandese,Portugal,Europe
por,PT,L,Portuguese,Portugal,Europe
psr,PT,L,Portuguese Sign Language,Portugal,Europe
ekk,EE,L,"Estonian, Standard",Estonia,Europe
eso,EE,L,Estonian Sign Language,Estonia,Europe
vro,EE,L,Võro,Estonia,Europe
fao,FO,L,Faroese,Faroe Islands,Europe
fin,FI,L,Finnish,Finland,Europe
fse,FI,L,Finnish Sign Language,Finland,Europe
fss,FI,L,Finland-Swedish Sign Language,Finland,Europe
rmf,FI,L,"Romani, Kalo Finnish",Finland,Europe
smn,FI,L,"Saami, Inari",Finland,Europe
sms,FI,L,"Saami, Skolt",Finland,Europe
fit,SE,L,Meänkieli,Sweden,Europe
ovd,SE,L,Övdalian,Sweden,Europe
rmu,SE,L,"Romani, Tavringer",Sweden,Europe
sje,SE,L,"Saami, Pite",Sweden,Europe
sju,SE,L,"Saami, Ume",Sweden,Europe
sma,SE,L,"Saami, South",Sweden,Europe
smj,SE,L,"Saami, Lule",Sweden,Europe
swe,SE,L,Swedish,Sweden,Europe
swl,SE,L,Swedish Sign Language,Sweden,Europe
fkv,NO,L,"Finnish, Kven",Norway,Europe
nor,NO,L,Norwegian,Norway,Europe
nsl,NO,L,Norwegian Sign Language,Norway,Europe
rmg,NO,L,"Norwegian, Traveller",Norway,Europe
sme,NO,L,"Saami, North",Norway,Europe
gag,MD,L,Gagauz,Moldova,Europe
vsi,MD,L,Moldova Sign Language,Moldova,Europe
gle,IE,L,Irish,Ireland,Europe
isg,IE,L,Irish Sign Language,Ireland,Europe
sth,IE,L,Shelta,Ireland,Europe
glv,IM,L,Manx,Isle of Man,Europe
gsw,CH,L,"German, Swiss",Switzerland,Europe
roh,CH,L,Romansh,Switzerland,Europe
sgg,CH,L,Swiss-German Sign Language,Switzerland,Europe
slf,CH,L,Swiss-Italian Sign Language,Switzerland,Europe
ssr,CH,L,Swiss-French Sign Language,Switzerland,Europe
wae,CH,L,Walser,Switzerland,Europe
hsh,HU,L,Hungarian Sign Language,Hungary,Europe
hun,HU,L,Hungarian,Hungary,Europe
icl,IS,L,Icelandic Sign Language,Iceland,Europe
isl,IS,L,Icelandic,Iceland,Europe
kdr,LT,L,Karaim,Lithuania,Europe
lit,LT,L,Lithuanian,Lithuania,Europe
lls,LT,L,Lithuanian Sign Language,Lithuania,Europe
sgs,LT,L,Samogitian,Lithuania,Europe
lat,VA,L,Latin,Vatican State,Europe
