year,country,nPopulation
2014,NL,16829289.0
2014,NO,5107970.0
2014,PL,38017856.0
2014,PT,10427301.0
2014,RO,19947311.0
2014,RS,7146759.0
2014,RU,143666931.0
2014,SE,9644864.0
2014,SI,2061085.0
2014,SK,5415949.0
2014,SM,32520.0
2014,TR,76667864.0
2014,UA,45245894.0
2014,UK,64351203.0
2014,XK,1820631.0
2015,AD,73236.66666666667
2015,AL,2885796.0
2015,AM,3010598.0
2015,AT,8584926.0
2015,AZ,9593038.0
2015,BA,3825334.0
2015,BE,11237274.0
2015,BG,7202198.0
2015,BY,9480868.0
2015,CH,8237666.0
2015,CY,847008.0
2015,CZ,10538275.0
2015,DE,81197537.0
2015,DK,5659715.0
2015,EE,1314870.0
2015,EL,10858018.0
2015,ES,46449565.0
2015,FI,5471753.0
2015,FR,66458153.0
2015,FX,63697865.0
2015,GE,3729500.0
2015,HR,4225316.0
2015,HU,9855571.0
2015,IE,4677627.0
2015,IS,329100.0
2015,IT,60795612.0
2015,LI,37366.0
2015,LT,2921262.0
2015,LU,562958.0
2015,LV,1986096.0
2015,MC,37700.0
2015,MD,3555159.0
2015,ME,622099.0
2015,MK,2069172.0
2015,MT,439691.0
2015,NL,16900726.0
2015,NO,5166493.0
2015,PL,38005614.0
2015,PT,10374822.0
2015,RO,19870647.0
2015,RS,7114393.0
2015,RU,143666931.0
2015,SE,9747355.0
2015,SI,2062874.0
2015,SK,5421349.0
2015,SM,32789.0
2015,TR,77695904.0
2015,UA,42759661.0
2015,UK,64853393.0
2015,XK,1804944.0
2016,AD,71732.0
2016,AL,2875592.0
2016,AM,2998577.0
2016,AT,8700471.0
2016,AZ,9705643.0
2016,BA,3515982.0
2016,BE,11311117.0
2016,BG,7153784.0
2016,BY,9498364.0
2016,CH,8327126.0
2016,CY,848319.0
2016,CZ,10553843.0
2016,DE,82175684.0
2016,DK,5707251.0
2016,EE,1315944.0
2016,EL,10783748.0
2016,ES,46440099.0
2016,FI,5487308.0
2016,FR,66638391.0
2016,FX,63697865.0
2016,GE,3720400.0
2016,HR,4190669.0
2016,HU,9830485.0
2016,IE,4726286.0
2016,IS,332529.0
2016,IT,60665551.0
2016,LI,37622.0
2016,LT,2888558.0
2016,LU,576249.0
