year,country,nImmigrants
2015,IE,80792.0
2015,IS,5635.0
2015,IT,280078.0
2015,LI,657.0
2015,LT,22130.0
2015,LU,23803.0
2015,LV,9479.0
2015,ME,4553.0
2015,MK,1741.0
2015,MT,16936.0
2015,NL,166872.0
2015,NO,60816.0
2015,PL,218147.0
2015,PT,29896.0
2015,RO,132795.0
2015,SE,134240.0
2015,SI,15420.0
2015,SK,6997.0
2015,UK,631452.0
2016,AT,129509.0
2016,BE,123702.0
2016,BG,21241.0
2016,CH,149305.0
2016,CY,17391.0
2016,CZ,64083.0
2016,DE,1029852.0
2016,DK,74383.0
2016,EE,14822.0
2016,EL,116867.0
2016,ES,414746.0
2016,FI,34905.0
2016,FR,377709.0
2016,HR,13985.0
2016,HU,53618.0
2016,IE,85185.0
2016,IS,8710.0
2016,IT,300823.0
2016,LI,607.0
2016,LT,20162.0
2016,LU,22888.0
2016,LV,8345.0
2016,ME,4904.0
2016,MK,2262.0
2016,MT,17051.0
2016,NL,189232.0
2016,NO,61460.0
2016,PL,208302.0
2016,PT,29925.0
2016,RO,137455.0
2016,SE,163005.0
2016,SI,16623.0
2016,SK,7686.0
2016,UK,588993.0
2017,AT,111801.0
2017,BE,126703.0
2017,BG,25597.0
2017,CH,143377.0
2017,CY,21306.0
2017,CZ,51847.0
2017,DE,917109.0
2017,DK,68579.0
2017,EE,17616.0
2017,EL,112247.0
2017,ES,532132.0
2017,FI,31797.0
2017,FR,369621.0
2017,HR,15553.0
2017,HU,68070.0
2017,IE,78499.0
2017,IS,12116.0
2017,IT,343440.0
2017,LI,645.0
2017,LT,20368.0
2017,LU,24379.0
2017,LV,9916.0
2017,ME,6684.0
2017,MK,2064.0
2017,MT,21676.0
2017,NL,189646.0
2017,NO,53351.0
2017,PL,209353.0
2017,PT,36639.0
2017,RO,177435.0
2017,SE,144489.0
2017,SI,18808.0
2017,SK,7188.0
2017,UK,644209.0
2018,AT,105633.0
2018,BE,137860.0
2018,BG,29559.0
2018,CH,144857.0
2018,CY,23442.0
2018,CZ,65910.0
2018,DE,893886.0
2018,DK,64669.0
2018,EE,17547.0
2018,EL,119489.0
2018,ES,643684.0
2018,FI,31106.0
2018,FR,387158.0
2018,HR,26029.0
2018,HU,82937.0
2018,IE,97712.0
2018,IS,11830.0
2018,IT,332324.0
2018,LI,649.0
2018,LT,28914.0
2018,LU,24644.0
2018,LV,10909.0
2018,ME,8643.0
2018,MK,2053.0
2018,MT,26444.0
2018,NL,194306.0
2018,NO,47864.0
2018,PL,214083.0
2018,PT,43170.0
2018,RO,172578.0
2018,SE,132602.0
2018,SI,28455.0
2018,SK,7253.0
2018,UK,603953.0
2019,AT,109167.0
2019,BE,150006.0
2019,BG,37929.0
2019,CH,145129.0
2019,CY,26170.0
2019,CZ,105888.0
2019,DE,886341.0
2019,DK,61384.0
2019,EE,18259.0
2019,EL,129459.0
2019,ES,750480.0
2019,FI,32758.0
2019,FR,385591.0
2019,HR,37726.0
2019,HU,88581.0
2019,IE,85630.0
2019,IS,9872.0
2019,IT,332778.0
2019,LI,727.0
2019,LT,40067.0
2019,LU,26668.0
2019,LV,11223.0
2019,ME,10737.0
2019,MK,2118.0
2019,MT,28341.0
2019,NL,215756.0
2019,NO,48680.0
2019,PL,226649.0
2019,PT,72725.0
2019,RO,202422.0
2019,SE,115805.0
2019,SI,31319.0
2019,SK,7016.0
2019,UK,680906.0
