freq,unit,sex,age,geo\TIME_PERIOD	1960 	1961 	1962 	1963 	1964 	1965 	1966 	1967 	1968 	1969 	1970 	1971 	1972 	1973 	1974 	1975 	1976 	1977 	1978 	1979 	1980 	1981 	1982 	1983 	1984 	1985 	1986 	1987 	1988 	1989 	1990 	1991 	1992 	1993 	1994 	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 
A,NR,T,TOTAL,CY	572000 	573566 	575900 	578900 	585500 	588400 	593200 	597100 	601800 	606800 	612000 	616900 	623100 	631778 	637800 	505700 b	497879 	497600 	498000 	501300 	505800 	512300 	522845 	524623 	531518 	538397 	544605 	550888 	556584 	562693 	572655 	587141 	603069 	619231 	632944 	645399 	656333 	666313 	675215 	682862 	690497 	697549 	705539 	713720 	722893 	733067.0 	744013.0 	757916.0 	776333.0 	796930.0 	819140.0 	839751 	862011 	865878 	858000 	847008 	848319 	854802 	864236 	875899 	888005 	896005 p
A,NR,T,TOTAL,CZ	9637840 	9566172 	9607129 	9642191 	9699179 	9756429 	9802287 	9839792 	9866006 	9886686 	9906474 	9809667 	9843962 	9891302 	9953230 	10023688 	10093551 	10158327 	10215183 	10269012 	10315669 	10292717 	10308465 	10321186 	10326526 	10333900 	10340335 	10344119 	10350517 	10360034 	10362102 	10304607 	10312548 	10325697 	10334013 	10333161 	10321344 	10309137 	10299125 	10289621 	10278098 	10232027 	10201182 	10192649 	10195347 	10198855.0 	10223577.0 	10254233.0 	10343422.0 	10425783.0 	10462088.0 	10486731 	10505445 	10516125 	10512419 	10538275 	10553843 	10578820 	10610055 	10649800 	10693939 	10701777 
A,NR,T,TOTAL,DE	55257088 	55958321 	56589148 	57247246 	57864509 	58587451 	59296591 	59792934 	59948474 	60463033 	61194591 	61001164 	61502503 	61809358 	62101379 	61991475 	61644624 	61441996 	61352745 	61321663 	61439338 	61657952 	61712689 	61546101 	61306669 	61049256 	61020474 	61140461 	61238079 	61715103 	62679035 	79753227 	80274564 	80974632 	81338093 	81538603 	81817499 	82012162 	82057379 	82037011 	82163475 	82259540 	82440309 	82536680 	82531671 	82500849.0 	82437995.0 	82314906.0 	82217837.0 	82002356.0 	81802257.0 	80222065 b	80327900 	80523746 	80767463 	81197537 	82175684 	82521653 	82792351 	83019213 	83166711 	83155031 
A,NR,T,TOTAL,DE_TOT	72542990 	73086809 	73668454 	74383113 	75045592 	75591082 	76336308 	76864314 	77038358 	77550269 	78269095 	78069482 	78556202 	78820701 	79052630 	78882235 	78464873 	78209026 	78110602 	78073038 	78179662 	78397490 	78418324 	78248407 	78008156 	77709213 	77660533 	77780338 	77899502 	78389735 	79112831 	79753227 	80274564 	80974632 	81338093 	81538603 	81817499 	82012162 	82057379 	82037011 	82163475 	82259540 	82440309 	82536680 	82531671 	82500849.0 	82437995.0 	82314906.0 	82217837.0 	82002356.0 	81802257.0 	80222065 b	80327900 	80523746 	80767463 	81197537 	82175684 	82521653 	82792351 	83019213 	83166711 	83155031 
A,NR,T,TOTAL,DK	4565455 	4593750 	4629624 	4665829 	4703136 	4741008 	4777015 	4817746 	4852962 	4876803 	4906916 	4950598 	4975653 	5007538 	5036184 	5054410 	5065313 	5079879 	5096959 	5111537 	5122065 	5123989 	5119155 	5116464 	5112130 	5111108 	5116273 	5124794 	5129254 	5129778 	5135409 	5146469 	5162126 	5180614 	5196642 	5215718 	5251027 	5275121 	5294860 	5313577 	5330020 	5349212 	5368354 	5383507 	5397640 	5411405.0 	5427459.0 	5447084.0 	5475791.0 	5511451.0 	5534738.0 	5560628 	5580516 	5602628 	5627235 	5659715 	5707251 	5748769 	5781190 	5806081 	5822763 	5840045 
A,NR,T,TOTAL,EA18	260384692 	: 	: 	: 	: 	272477051 	: 	: 	: 	: 	282389942 	283638201 	: 	: 	: 	290585714 	291897664 	293005775 	294187553 	295380797 	296621806 	298004498 	298975711 	299669586 	300100298 	300520869 	301080275 	301854752 	302592602 	303758312 	305147996 	306560327 b	307904205 	309418015 	310450264 	311236281 	312064064 	312860307 	315193283 b	315837523 	316863173 	317960133 	319364999 	321142451 	322915089 	324786228.0 	326395103.0 	327954596.0 	329884170.0 b	331286399.0 	332124448.0 	331520001 b	332285283 b	333073061 	334820880 b	335640859 b	336899429 	337693238 b	338444103 p	338729883 bep	339615386 p	339580922 ep
A,NR,T,TOTAL,EA19	263140292 	: 	: 	: 	: 	275430651 	: 	: 	: 	: 	285508883 	286798638 	: 	: 	: 	293874224 	295212458 	296348308 	297555091 	298772287 	300026000 	301426708 	302419395 	303140259 	303600009 	304049567 	304640663 	305452191 	306227897 	307433114 	308841704 	310262295 b	311610504 	313111944 	314121560 	314879272 	315679276 	316448320 	318755544 b	319373924 	320375247 	321447131 	322819636 	324573948 	326314018 	328141448.0 	329684938.0 	331204579.0 	333096775.0 b	334470255.0 	335266424.0 	334572589 b	335288924 b	336044966 	337764352 b	338562121 b	339787987 	340541142 b	341253004 p	341524067 bep	342409476 p	342376602 ep
A,NR,T,TOTAL,EE	1206362 	1216712 	1233441 	1249804 	1267910 	1286262 	1302870 	1314323 	1323569 	1338858 	1351640 	1368511 	1385399 	1399637 	1412265 	1424073 	1434630 	1444522 	1455900 	1464476 	1472190 	1482247 	1493085 	1503743 	1513747 	1523486 	1534076 	1546304 	1558137 	1565662 	1570599 	1567749 	1554878 	1511303 	1476952 	1448075 	1425192 	1405996 	1393074 	1379237 	1401250 	1392720 	1383510 	1375190 	1366250 	1358850.0 	1350700.0 	1342920.0 	1338440.0 	1335740.0 	1333290.0 	1329660 	1325217 	1320174 	1315819 	1314870 b	1315944 	1315635 	1319133 	1324820 	1328976 	1330068 
A,NR,T,TOTAL,EEA30_2007	406362168 	: 	: 	: 	: 	424373323 	: 	: 	: 	: 	439557803 	441422518 	: 	: 	: 	451803585 	453994905 	455902582 	457814838 	459595740 	461485332 	463458024 	464962566 	466148393 	467098623 	468111291 	469211748 	470548009 	471804259 	473450476 	474930508 	476594784 b	477892012 	479597438 	480868037 	481891130 	482824056 	483673506 	486062046 b	486803550 	487551317 b	488764781 	489501378 	491260780 	493152394 	495222001.0 	497099125.0 	499011219.0 	501073052.0 b	502934648.0 	504079494.0 b	503949886 b	505113900 b	506310838 	508459052 b	509827848 b	511572077 	512858835 b	514058823 p	514740891 bep	516057754 ep	: 
A,NR,T,TOTAL,EEA31	410489590 	: 	: 	: 	: 	428639503 	: 	: 	: 	: 	443961155 	445843669 	: 	: 	: 	456304312 	458518341 	460451014 	462385547 	464187200 	466083427 	468059493 	469584114 	470795314 	471768210 	472802274 	473923600 	475279050 	476552709 	478212441 	479703064 	481376963 be	482487877 e	484153209 e	485513192 e	486550023 e	487405223 e	488206534 e	490598858 be	491331010 e	492049052 be	493060187 b	493806872 	495566164 	497458119 	499532862.0 	501411612.0 	503324749.0 	505385019.0 b	507244444.0 	508382341.0 b	508239743 b	509389884 b	510572978 	512705861 b	514053164 b	515762746 	517013048 b	518164316 p	518817137 bep	520115919 ep	: 
