freq,unit,sex,age,geo\TIME_PERIOD	1960 	1961 	1962 	1963 	1964 	1965 	1966 	1967 	1968 	1969 	1970 	1971 	1972 	1973 	1974 	1975 	1976 	1977 	1978 	1979 	1980 	1981 	1982 	1983 	1984 	1985 	1986 	1987 	1988 	1989 	1990 	1991 	1992 	1993 	1994 	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 
A,NR,T,TOTAL,ME	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	603152 	605988 	608460 	610510 	612214 	613420.0 	613109.0 	614624.0 	615543.0 	617157.0 	619001.0 	619850 	620308 	620893 	621521 	622099 	622218 	622387 	622359 	622182 	621873 	620739 
A,NR,T,TOTAL,MK	1384451 	1399403 	1417200 	1438342 	1461522 	1486469 	1512988 	1538694 	1562211 	1589217 	1616769 	1641353 	1666798 	1692113 	1717090 	1742780 	1769890 	1797145 	1823151 	1849388 	1878067 	1904570 	1928856 	1954972 	1980139 	2004709 	2029175 	2052953 	2077056 	2100246 	1873109 	1890872 	1908941 	2061000 	1936741 	1957265 	1971687 	1991398 	2002340 	2012705 	2021578 	2031112 	2038651 	2023654 	2029892 	2035196.0 	2038514.0 	2041941.0 	2045177.0 	2048619.0 	2052722.0 	2057284 	2059794 	2062294 	2065769 	2069172 	2071278 	2073702 	2075301 	2077132 	2076255 	2068808 
A,NR,T,TOTAL,MT	327200 	: 	: 	: 	: 	320600 	: 	: 	: 	: 	302500 	302800 	: 	: 	: 	301892 	306551 	304997 	308942 	311421 	315262 	318028 	319936 	331859 	329189 	331997 	340907 	343334 	345636 	349014 	352430 	361908 b	365781 	369455 	373161 	376433 	378404 	381405 	384176 	386397 	388759 	391415 	394641 	397296 	399867 	402668.0 	404999.0 	405616.0 	407832.0 	410926.0 	414027.0 	414989 	417546 	422509 	429424 	439691 	450415 	460297 	475701 	493559 	514564 	516100 
A,NR,T,TOTAL,NL	11417254 	11556008 	11721416 	11889962 	12041970 	12212269 	12377194 	12535307 	12661095 	12798346 	12957621 	13119430 	13269563 	13387623 	13491020 	13599092 	13733578 	13814495 	13897874 	13985526 	14091014 	14208586 	14285829 	14339551 	14394589 	14453833 	14529430 	14615125 	14714948 	14805240 	14892574 	15010445 	15129150 	15239182 	15341553 	15424122 	15493889 	15567107 	15654192 	15760225 	15863950 	15987075 	16105285 	16192572 	16258032 	16305526.0 	16334210.0 	16357992.0 	16405399.0 	16485787.0 	16574989.0 	16655799 	16730348 	16779575 	16829289 	16900726 	16979120 	17081507 	17181084 	17282163 	17407585 	17475415 
A,NR,T,TOTAL,NO	3567707 	3594771 	3624829 	3653006 	3680068 	3708609 	3737726 	3768298 	3800780 	3832192 	3863221 	3888305 	3917773 	3948234 	3972990 	3997525 	4017101 	4035202 	4051208 	4066134 	4078900 	4092340 	4107063 	4122511 	4134353 	4145845 	4159187 	4175521 	4198289 	4220686 	4233116 	4249830 	4273634 	4299167 	4324815 	4348410 	4369957 	4392714 	4417599 	4445329 	4478497 	4503436 	4524066 	4552252 	4577457 	4606363.0 	4640219.0 	4681134.0 	4737171.0 	4799252.0 	4858199.0 	4920305 	4985870 	5051275 	5107970 	5166493 	5210721 	5258317 	5295619 	5328212 	5367580 	5391369 
A,NR,T,TOTAL,PL	29479900 	29795000 	30133000 	30484000 	30940000 	31338900 	31551000 	31811000 	32163310 	32426000 	32670600 	32658000 	32909000 	33202300 	33512100 	33845698 	34184700 	34527900 	34850200 	35081000 	35413434 	35734865 	36062309 	36398652 	36744964 	37063303 	37340467 	37571771 	37764318 	37884655 	38038403 	38183160 	38309226 	38418108 	38504707 	38580597 	38609399 	38639341 	38659979 	38666983 	38263303 b	38253955 	38242197 	38218531 	38190608 	38173835.0 	38157055.0 	38125479.0 	38115641.0 	38135876.0 	38022869.0 b	38062718 	38063792 	38062535 	38017856 	38005614 	37967209 	37972964 	37976687 	37972812 	37958138 	37840001 
A,NR,T,TOTAL,PT	8826040 	8889392 	8969240 	9018730 	9041980 	9028750 	8968440 	8893540 	8855500 	8817800 	8697610 	8663252 	8624260 	8636600 	8629600 	8879130 	9307810 	9403810 	9507540 	9608960 	9713570 	9819054 	9883670 	9939871 	9975859 	10016605 	10030621 	10034846 	10025215 	10014005 	9995995 	9970441 	9950029 	9954958 	9974391 	10008659 	10043693 	10084196 	10133758 	10186634 	10249022 	10330774 	10394669 	10444592 	10473050 	10494672.0 	10511988.0 	10532588.0 	10553339.0 	10563014.0 	10573479.0 	10572721 	10542398 	10487289 	10427301 	10374822 	10341330 	10309573 	10291027 	10276617 	10295909 	10298252 
A,NR,T,TOTAL,RO	18319210 	18494600 	18615900 	18737200 	18858500 	18979752 	19083400 	19347500 	19720984 	19878678 	20139603 	20361192 	20561942 	20753972 	20917390 	21141468 	21445698 	21657569 	21854622 	22048305 	22132670 	22281894 	22424246 	22527235 	22593720 	22687374 	22778624 	22895058 	23003802 	23111521 	23211395 	23192274 	22810035 	22778533 	22748027 	22712394 	22656145 	22581862 	22526093 	22488595 	22455485 	22430457 	21833483 	21627509 	21521142 	21382354.0 	21257016.0 	21130503.0 	20635460.0 	20440290.0 	20294683.0 	20199059 	20095996 	20020074 	19947311 	19870647 	19760585 	19643949 	19533481 	19414458 	19328838 e	19186201 e
A,NR,T,TOTAL,RS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	7552850 	7527952 	7504739 	7502126 	7490918 	7470263 	7456050.0 	7425487.0 	7397651.0 	7365507.0 	7334937.0 	7306677.0 	7251549 b	7216649 	7181505 	7146759 	7114393 	7076372 	7040272 	7001444 	6963764 	6926705 	6871547 
A,NR,T,TOTAL,RU	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	146890128 	146303611 	145649334 	145166731 	144168205 	143474219.0 	142753551.0 	142220968.0 	142008838.0 	141903979.0 	141914509.0 	142856536 	143056383 	: 	143666931 	: 	: 	: 	: 	: 	: 	: 
A,NR,T,TOTAL,SE	7471345 	7497967 	7542028 	7581148 	7627507 	7695200 	7772506 	7843088 	7892774 	7931772 	8004371 	8081230 	8115438 	8129161 	8143463 	8176447 	8208427 	8236144 	8266936 	8284261 	8303094 	8317967 	8323038 	8327488 	8330577 	8342633 	8358139 	8381519 	8414089 	8458888 	8527039 	8590630 	8644120 	8692013 	8745109 	8816381 	8837496 	8844499 	8847625 	8854322 	8861426 	8882792 	8909128 	8940788 	8975670 	9011392.0 	9047752.0 	9113257.0 	9182927.0 	9256347.0 	9340682.0 	9415570 	9482855 	9555893 	9644864 	9747355 	9851017 	9995153 	10120242 	10230185 	10327589 	10379295 
A,NR,T,TOTAL,SI	1580535 	1588904 	1599357 	1607941 	1626000 	1638227 	1660092 	1679717 	1699339 	1709752 	1717995 	1731787 	1744882 	1759584 	1773809 	1778454 	1808707 	1831790 	1852963 	1872133 	1893064 	1909566 	1903495 	1917173 	1927469 	1936839 	1946442 	1985486 	1994066 	1996325 	1996377 	1999945 	1998912 	1994084 	1989408 	1989477 	1990266 	1986989 	1984923 	1978334 	1987755 	1990094 	1994026 	1995033 	1996433 	1997590.0 	2003358.0 	2010377.0 	2010269.0 b	2032362.0 	2046976.0 	2050189 	2055496 	2058821 	2061085 	2062874 	2064188 	2065895 	2066880 	2080908 	2095861 	2108977 
A,NR,T,TOTAL,SK	3969682 	4166507 	4216827 	4259549 	4304484 	4350198 	4391768 	4431564 	4467170 	4500659 	4536555 	4539890 	4575007 	4618236 	4664653 	4714593 	4763617 	4815396 	4865605 	4914644 	4963301 	4996329 	5035881 	5074316 	5109626 	5144568 	5178967 	5208708 	5236972 	5264220 	5287663 	5310711 	5295877 	5314155 	5336455 	5356207 	5367790 	5378932 	5387650 	5393382 	5398657 	5378783 	5378951 	5374873 	5371875 	5372685.0 	5372928.0 	5373180.0 	5376064.0 	5382401.0 	5390410.0 	5392446 	5404322 	5410836 	5415949 	5421349 	5426252 	5435343 	5443120 	5450421 	5457873 	5459781 
A,NR,T,TOTAL,SM	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	29241 	29673.0 	29999.0 	30368.0 	32054.0 	31269.0 	: 	31863 	33376 	33562 	: 	: 	: 	: 	34453 	: 	: 	: 
A,NR,T,TOTAL,TR	27119962 	27755078 	28435197 	29162545 	29939582 	30769013 	31499416 	32273630 	33093700 	33961875 	34880611 	35707058 	36582215 	37508880 	38490106 	39529218 	40281507 	41102443 	41996129 	42967253 	44021146 	45023450 	46085508 	47210448 	48401689 	49662958 	50695548 	51791212 	52953586 	54186642 	55494711 	56714051 	57835076 	58958565 	60079060 	61203584 	62337617 	63484661 	64641675 	65786563 	66889425 	64729501 b	65603160 	66401851 	67187251 	68010221.0 	68860539.0 	69729967.0 	70586256.0 	71517100.0 	72561312.0 	73722988 	74724269 	75627384 	76667864 	77695904 	78741053 	79814871 	80810525 	82003882 	83154997 	83614362 
A,NR,T,TOTAL,UA	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	49114950 	48663609 	48240902 	47823108 	47442079 	47100462.0 	46749170.0 	46465691.0 	46192309.0 	45963359.0 	45782592.0 	45598179 	45453282 	45372692 	45245894 	42759661 b	42590879 	42414905 	42216766 	41983564 	41732779 	41418717 e
A,NR,T,TOTAL,UK	52200000 	52600000 	53000000 	53500000 	53800000 	54200000 	54496100 	54800900 	55086300 	55337100 	55546400 	55780100 	56012345 	56159785 	56229268 	56230680 	56220920 	56203016 	56183968 	56209039 	56284863 	56343569 	56324088 	56303194 	56362502 	56481641 	56618895 	56743897 	56860203 	56996450 	57156972 	57338199 	57511594 	57649210 	57788017 	57943472 	58094587 	58239312 	58394596 	58579685 	58785246 	58999781 	59239564 	59501394 	59793759 	60182050.0 	60620361.0 	61073279.0 	61571647.0 	62042343.0 	62510197.0 	63022532 	63495088 	63905342 	64351203 	64853393 	65379044 	65844142 	66273576 	66647112 	67025542 p	: 
A,NR,T,TOTAL,XK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1985000 	2016000 	2041000.0 	2100000.0 	2126708.0 	2153139.0 	2180686.0 	2208107.0 	1794180 b	: p	: 	: 	: 	1771604 p	1783531 	1798506 	1795666 	1782115 	: 
